,Date,CA
0,2015-06-30,190.768177
1,2015-05-31,188.89242236
2,2015-04-30,186.88671925
3,2015-03-31,184.41918866
4,2015-02-28,181.80009641
5,2015-01-31,180.24620221
6,2014-12-31,179.43071959
7,2014-11-30,178.95766376
8,2014-10-31,178.78131866
9,2014-09-30,178.72346978
10,2014-08-31,178.71449213
11,2014-07-31,178.12210264
12,2014-06-30,176.87898303
13,2014-05-31,175.65037597
14,2014-04-30,174.17481258
15,2014-03-31,172.20086187
16,2014-02-28,169.98775528
17,2014-01-31,168.0772003
18,2013-12-31,166.83018869
19,2013-11-30,166.27719556
20,2013-10-31,166.22555407
21,2013-09-30,165.69648452
22,2013-08-31,164.52155202
23,2013-07-31,162.80433327
24,2013-06-30,159.9596105
25,2013-05-31,156.46576362
26,2013-04-30,152.71834732
27,2013-03-31,148.50053967
28,2013-02-28,144.48358893
29,2013-01-31,141.48099466
30,2012-12-31,139.72389454
31,2012-11-30,138.9256464
32,2012-10-31,137.84274313
33,2012-09-30,135.99905118
34,2012-08-31,134.17247954
35,2012-07-31,132.78137807
36,2012-06-30,131.52521243
37,2012-05-31,129.90275273
38,2012-04-30,128.11491523
39,2012-03-31,126.06133247
40,2012-02-29,124.56624518
41,2012-01-31,124.55647804
42,2011-12-31,125.36972379
43,2011-11-30,126.01174537
44,2011-10-31,126.40597142
45,2011-09-30,127.10499513
46,2011-08-31,127.86246784
47,2011-07-31,128.67327674
48,2011-06-30,129.26502479
49,2011-05-31,129.57043286
50,2011-04-30,129.8618367
51,2011-03-31,129.7915968
52,2011-02-28,129.85718432
53,2011-01-31,130.62903091
54,2010-12-31,131.78594942
55,2010-11-30,132.96212197
56,2010-10-31,134.17057996
57,2010-09-30,135.45527826
58,2010-08-31,136.81480557
59,2010-07-31,137.72110876
60,2010-06-30,138.35214243
61,2010-05-31,138.88819668
62,2010-04-30,138.8582957
63,2010-03-31,138.45673058
64,2010-02-28,137.56777362
65,2010-01-31,137.38452805
66,2009-12-31,138.23039106
67,2009-11-30,138.67643999
68,2009-10-31,138.2777286
69,2009-09-30,137.68785519
70,2009-08-31,137.15469876
71,2009-07-31,136.41084708
72,2009-06-30,135.14942663
73,2009-05-31,133.33355769
74,2009-04-30,132.44146274
75,2009-03-31,133.16676404
76,2009-02-28,134.66211838
77,2009-01-31,136.61001008
78,2008-12-31,139.65501127
79,2008-11-30,143.43098711
80,2008-10-31,146.77013939
81,2008-09-30,149.56063429
82,2008-08-31,152.41732212
83,2008-07-31,155.6075038
84,2008-06-30,158.19920908
85,2008-05-31,160.36234031
86,2008-04-30,163.01322708
87,2008-03-31,165.98344443
88,2008-02-29,169.8271722
89,2008-01-31,174.61420003
90,2007-12-31,179.62248167
91,2007-11-30,184.89543931
92,2007-10-31,190.40371573
93,2007-09-30,195.36634669
94,2007-08-31,199.5400744
95,2007-07-31,203.36807812
96,2007-06-30,206.44234285
97,2007-05-31,208.24940918
98,2007-04-30,209.45187489
99,2007-03-31,209.29029714
100,2007-02-28,207.5238859
101,2007-01-31,206.07369483
102,2006-12-31,206.15152988
103,2006-11-30,207.64000054
104,2006-10-31,209.60755985
105,2006-09-30,211.51117525
106,2006-08-31,213.54203818
